onset	duration	event_id	mod_frequency	level
0.000	n/a	session-open	n/a	n/a
0.300	n/a	playback-start	10	n/a
60.000	n/a	observation-collected	n/a	n/a
120.000	n/a	parameter-changed	n/a	0.40
120.100	n/a	safety-limit-applied	n/a	0.30
240.000	n/a	observation-collected	n/a	n/a
300.000	n/a	parameter-changed	8	n/a
360.000	n/a	playback-pause	n/a	n/a
420.000	n/a	playback-resume	8	n/a
480.000	n/a	observation-collected	n/a	n/a
540.000	n/a	parameter-changed	6	n/a
600.000	n/a	engine-fallback	n/a	n/a
660.000	n/a	parameter-changed	n/a	0.22
720.000	n/a	observation-collected	n/a	n/a
780.000	n/a	playback-stop	n/a	n/a
840.000	n/a	playback-start	6	n/a
900.000	n/a	parameter-changed	10	n/a
960.000	n/a	observation-collected	n/a	n/a
1020.000	n/a	parameter-changed	n/a	0.35
1020.100	n/a	safety-limit-applied	n/a	0.30
1080.000	n/a	playback-pause	n/a	n/a
1140.000	n/a	playback-resume	10	n/a
1200.000	n/a	parameter-changed	40	n/a
1260.000	n/a	observation-collected	n/a	n/a
1320.000	n/a	engine-fallback	n/a	n/a
1440.000	n/a	parameter-changed	n/a	0.18
1560.000	n/a	observation-collected	n/a	n/a
1680.000	n/a	parameter-changed	10	n/a
1740.000	n/a	playback-stop	n/a	n/a
1740.500	n/a	session-complete	n/a	n/a
